Name,URL
阿馥奇朵™,https://www.starbucks.com.cn/images/products/affogato.jpg
麦芽雪冷萃™,https://www.starbucks.com.cn/images/products/cold-brew-malt.jpg
冷萃浮乐朵™,https://www.starbucks.com.cn/images/products/cold-brew-float.jpg
气致™冷萃浮乐朵™,https://www.starbucks.com.cn/images/products/instore-nitro-cold-brew-float.jpg
冷萃冰咖啡,https://www.starbucks.com.cn/images/products/cold-brew.jpg
轻甜奶油冷萃,https://www.starbucks.com.cn/images/products/vanilla-flavor-sweet-cream-cold-brew.jpg
绵云冷萃,https://www.starbucks.com.cn/images/products/cold-foam-cold-brew.jpg
美式咖啡（热/冷）,https://www.starbucks.com.cn/images/products/caffe-americano.jpg
拿铁（热/冷）,https://www.starbucks.com.cn/images/products/caffe-latte.jpg
摩卡（热/冷),https://www.starbucks.com.cn/images/products/caffe-mocha.jpg
卡布奇诺（热/冷）,https://www.starbucks.com.cn/images/products/cappuccino.jpg
焦糖玛奇朵（热/冷）,https://www.starbucks.com.cn/images/products/caramel-macchiato.jpg
浓缩咖啡,https://www.starbucks.com.cn/images/products/espresso.jpg
馥芮白™,https://www.starbucks.com.cn/images/products/flat-white.jpg
榛果风味拿铁（热/冷）,https://www.starbucks.com.cn/images/products/hazelnut-flavored-latte.jpg
香草风味拿铁（热/冷）,https://www.starbucks.com.cn/images/products/vanilla-flavored-latte.jpg
焦糖浓缩咖啡星冰乐,https://www.starbucks.com.cn/images/products/caramel-espresso-frappuccino.jpg
抹茶星冰乐,https://www.starbucks.com.cn/images/products/green-tea-frappuccino.jpg
芒果西番莲果茶星冰乐,https://www.starbucks.com.cn/images/products/mango-passion-tea.jpg
摩卡星冰乐,https://www.starbucks.com.cn/images/products/mocha-frappuccino.jpg
摩卡可可碎片星冰乐,https://www.starbucks.com.cn/images/products/mocha-java-chip-frappuccino.jpg
香草风味星冰乐,https://www.starbucks.com.cn/images/products/vanilla-flavored-cream-frappuccino-blended-beverage.jpg
气致™冷萃咖啡,https://www.starbucks.com.cn/images/products/nitro-cold-brew.jpg
经典巧克力饮品（热/冷）,https://www.starbucks.com.cn/images/products/signature-chocolate-beverage.jpg
红茶拿铁（热/冷）,https://www.starbucks.com.cn/images/products/black-tea-latte.jpg
抹茶拿铁（热/冷）,https://www.starbucks.com.cn/images/products/green-tea-latte.jpg
茶瓦纳™ 冰摇柚柚蜂蜜红茶,https://www.starbucks.com.cn/images/products/iced-shaken-honey-ruby-grapefruit-black-tea.jpg
冰摇红莓黑加仑茶,https://www.starbucks.com.cn/images/products/blackcurrant-raspberry.jpg
冰摇芒果花草茶,https://www.starbucks.com.cn/images/products/iced-shaken-mango-herbal-juiced-tea.jpg
茶瓦纳™冰摇桃桃乌龙茶,https://www.starbucks.com.cn/images/products/iced-shaken-peach-green-tea.jpg
星巴克ORIGAMI™便携式滴滤咖啡（研磨咖啡粉）星巴克®佛罗娜烘焙咖啡系列,https://www.starbucks.com.cn/images/products/origami-verona.jpg
星巴克ORIGAMI™便携式滴滤咖啡（研磨咖啡粉）星巴克®派克市场烘焙咖啡系列,https://www.starbucks.com.cn/images/products/origami-pike-place.jpg
星巴克VIA®哥伦比亚免煮咖啡,https://www.starbucks.com.cn/images/products/via-colombia.jpg
星巴克VIA®意式烘焙免煮咖啡,https://www.starbucks.com.cn/images/products/via-italian-roast.jpg
星巴克VIA®摩卡风味免煮咖啡固体饮料,https://www.starbucks.com.cn/images/products/via-caffe-mocha.jpg
星巴克VIA®焦糖拿铁风味免煮咖啡固体饮料,https://www.starbucks.com.cn/images/products/via-caramel-latte.jpg
星巴克VIA®香草拿铁风味免煮咖啡固体饮料,https://www.starbucks.com.cn/images/products/via-vanilla-latte.jpg
星巴克®佛罗娜咖啡豆,https://www.starbucks.com.cn/images/caffe-verona-coffee-beans.png
星巴克®浓缩烘焙咖啡豆,https://www.starbucks.com.cn/images/espresso-roast-coffee-beans.png
星巴克®意式烘焙咖啡豆,https://www.starbucks.com.cn/images/italian-roast-coffee-beans.png
星巴克®低因祥龙综合咖啡豆,https://www.starbucks.com.cn/images/komodo-dragon-blend-coffee-beans.png
星巴克®苏门答腊咖啡豆,https://www.starbucks.com.cn/images/sumatra-coffee-beans.png
星巴克®早餐综合咖啡豆,https://www.starbucks.com.cn/images/breakfast-blend-coffee-beans.png
星巴克®哥伦比亚咖啡豆,https://www.starbucks.com.cn/images/products/colombia.jpg
星巴克®埃塞俄比亚咖啡豆,https://www.starbucks.com.cn/images/ethiopia-coffee-beans.png
星巴克®危地马拉安提瓜咖啡豆,https://www.starbucks.com.cn/images/guatemala-antigua-coffee-beans.png
星巴克®首选咖啡豆,https://www.starbucks.com.cn/images/house-blend-coffee-beans.png
星巴克®肯亚咖啡豆,https://www.starbucks.com.cn/images/kenya-coffee-beans.png
星巴克®派克市场烘焙咖啡豆,https://www.starbucks.com.cn/images/pike-place-roast-coffee-beans.png
星巴克®凤舞祥云综合咖啡豆,https://www.starbucks.com.cn/images/products/south-of-the-clouds.jpg
美式松饼,https://www.starbucks.com.cn/images/products/american-style-pancakes.jpg
蓝莓麦芬,https://www.starbucks.com.cn/images/products/blueberry-muffin.jpg
香浓巧克力麦芬,https://www.starbucks.com.cn/images/products/chocolate-muffin.jpg
旋风玉桂酥,https://www.starbucks.com.cn/images/products/cinnamon-swirl.jpg
法式香酥可颂,https://www.starbucks.com.cn/images/products/french-butter-croissant.jpg
法式焦糖酥,https://www.starbucks.com.cn/images/products/french-caramel-bread.jpg
层层榛子果仁酥,https://www.starbucks.com.cn/images/products/hazelnut-croissant.jpg
蜂蜜提子司康,https://www.starbucks.com.cn/images/products/honey-raisin-scone.jpg
燕麦焦糖布丁面包,https://www.starbucks.com.cn/images/products/oat-caramel-pudding-bread.jpg
香浓巧克力可颂,https://www.starbucks.com.cn/images/products/premium-chocolate-croissant.jpg
提子干松饼,https://www.starbucks.com.cn/images/products/raisin-scone.jpg
核桃提子软法面包,https://www.starbucks.com.cn/images/products/raisins-walnut-bread.jpg
红豆燕麦松饼,https://www.starbucks.com.cn/images/products/red-bean-oats-scone.jpg
全麦核桃麦芬,https://www.starbucks.com.cn/images/products/whole-wheat-walnut-muffin.jpg
蓝莓曲奇风轻乳酪蛋糕,https://www.starbucks.com.cn/images/products/blueberry-and-cookie-style-cheesecake.jpg
经典瑞士卷,https://www.starbucks.com.cn/images/products/classic-swiss-roll-cake.jpg
浓醇三重黑巧克力蛋糕,https://www.starbucks.com.cn/images/products/triple-dark-chocolate-cake.jpg
法式闪电泡芙,https://www.starbucks.com.cn/images/products/eclair.jpg
星巴克咖啡提拉米苏蛋糕,https://www.starbucks.com.cn/images/products/starbucks-coffee-tiramisu.jpg
法式马卡龙,https://www.starbucks.com.cn/images/products/macaron.jpg
纽约风浓郁重芝士蛋糕,https://www.starbucks.com.cn/images/products/new-york-style-creamy-cheesecake.jpg
腰果,https://www.starbucks.com.cn/images/products/cashews.jpg
英伦风味黄油饼干,https://www.starbucks.com.cn/images/products/shortbread.png
混合果仁果脯,https://www.starbucks.com.cn/images/products/fruitnnuts.jpg
水果沙拉,https://www.starbucks.com.cn/images/products/fruit-salad.jpg
棒棒糖,https://www.starbucks.com.cn/images/products/lollipops.jpg
咖啡味蛋卷,https://www.starbucks.com.cn/images/products/waferrolls.jpg
薄荷味口香糖（无糖）,https://www.starbucks.com.cn/images/products/starbucks-chewing-gum.jpg
薄荷味硬糖（无糖）,https://www.starbucks.com.cn/images/products/Starbucks-mints.jpg
牛油果鸡肉焙果,https://www.starbucks.com.cn/images/products/avocado-and-chicken-bagel.jpg
培根蛋可颂堡,https://www.starbucks.com.cn/images/products/bacon-and-egg-croissant-bun.jpg
蜜汁培根蛋卷,https://www.starbucks.com.cn/images/products/bacon-and-egg-wrap.jpg
层层牛肉法棍 ,https://www.starbucks.com.cn/images/products/beef-baguette.jpg
牛肉芝士可颂,https://www.starbucks.com.cn/images/products/beef-cheese-croissant.jpg
凯撒鸡肉卷,https://www.starbucks.com.cn/images/products/caesar-chicken-wrap.jpg
鸡肉芝香帕尼尼,https://www.starbucks.com.cn/images/products/chicken-panini.jpg
炒蛋菌菇虾仁卷,https://www.starbucks.com.cn/images/products/eggs-mushroom-shrimp-wrap.jpg
火腿芝士可颂,https://www.starbucks.com.cn/images/products/ham-and-cheese-croissant.jpg
双重芝士火腿吐司,https://www.starbucks.com.cn/images/products/ham-and-double-cheese-croque-monsieur.jpg
高达芝士火腿星明治,https://www.starbucks.com.cn/images/products/ham-and-gouda-sandwich.jpg
帕斯雀牛肉三明治,https://www.starbucks.com.cn/images/products/pastrami-sandwich.jpg
烤法式火腿鸡蛋三明治,https://www.starbucks.com.cn/images/products/roasted-french-ham-egg-sandwich.jpg
慢烤火腿芝士恰巴特,https://www.starbucks.com.cn/images/products/slow-roasted-ham-cheese-ciabatta.jpg
金枪鱼帕尼尼,https://www.starbucks.com.cn/images/products/tuna-panini.jpg
火鸡培根英式麦芬,https://www.starbucks.com.cn/images/products/turkey-bacon-english-muffin.jpg
谷物组合希腊式风味酸奶（混合莓果）,https://www.starbucks.com.cn/images/products/greek-flavored-yoghurt-mixed-berry.jpg
谷物组合希腊式风味酸奶（黄桃）,https://www.starbucks.com.cn/images/products/greek-flavored-yoghurt-yellow-peach.jpg
12oz 烫金品牌黑色马克杯,https://www.starbucks.com.cn/images/products/12oz-black-gilded-brand-mug.jpg
银色/白色亮面品牌桌面杯,https://www.starbucks.com.cn/images/products/12oz-silver-white-brand-handle-mug.jpg
12oz 彰显本色黑色/深灰不锈钢桌面杯,https://www.starbucks.com.cn/images/products/12oz-true-essence-stainless-steel-bottle.jpg
12oz 纯白磨砂玻璃杯,https://www.starbucks.com.cn/images/products/12oz-white-frosted-glass-cup.jpg
12oz 烫金品牌白色马克杯,https://www.starbucks.com.cn/images/products/12oz-white-gilded-brand-mug.jpg
16oz 烫金品牌黑色马克杯,https://www.starbucks.com.cn/images/products/16oz-black-gilded-brand-mug.jpg
16oz 原木黑色拎绳不锈钢保温杯,https://www.starbucks.com.cn/images/products/16oz-black-wooden-stainless-steel-bottle-with-strap.jpg
16oz 彰显本色黑色/深灰不锈钢随行杯,https://www.starbucks.com.cn/images/products/16oz-true-essence-stainless-steel-travel-bottle.jpg
16oz 烫金品牌白色马克杯,https://www.starbucks.com.cn/images/products/16oz-white-gilded-brand-mug.jpg
3oz 烫金品牌黑色试尝杯,https://www.starbucks.com.cn/images/products/3oz-black-gilded-brand-mug.jpg
3oz 烫金品牌白色试尝杯,https://www.starbucks.com.cn/images/products/3oz-white-gilded-brand-mug.jpg
500ml 黑色Logo水瓶,https://www.starbucks.com.cn/images/products/500ml-black-logo-water-bottle.jpg
500ml 白色Logo水瓶,https://www.starbucks.com.cn/images/products/500ml-white-logo-water-bottle.jpg
12oz 纯黑/古铜亮面品牌桌面杯,https://www.starbucks.com.cn/images/products/12oz-black-bronze-brand-handle-mug.jpg
16oz 香槟金品牌不锈钢桌面杯,https://www.starbucks.com.cn/images/products/16oz-champagne-gold-brand-stainless-steel-cup.jpg
500ml 金色Logo水瓶,https://www.starbucks.com.cn/images/products/500ml-gold-logo-water-bottle.jpg
9oz 臻选玻璃杯,https://www.starbucks.com.cn/images/products/9oz-reserve-glass-cup.jpg
